reference_id,sequence_number,image_id,date,time,latitude,longitude
pt00017,8,4188137597905696,2020-04-18,15:19:30,52.398140,13.227625
pt00017,9,470715000857924,2019-03-23,15:51:28,52.398136,13.227754
pt00018,0,1007923510390218,2023-07-12,14:36:05,52.398111,13.227669
pt00018,1,1134814780357213,2017-07-24,13:19:24,52.398138,13.227642
pt00018,2,1671925649900548,2023-07-12,14:36:07,52.398014,13.227699
pt00018,3,177793167574279,2020-04-18,15:19:29,52.398073,13.227645
pt00018,4,286947139696962,2016-05-14,08:51:14,52.398069,13.227633
pt00018,5,293673466358662,2023-07-12,14:36:06,52.398066,13.227688
pt00018,6,3022328324720684,2019-06-16,20:14:06,52.398121,13.227682
pt00018,7,369827821099436,2017-07-24,13:19:24,52.398067,13.227642
pt00018,8,4188137597905696,2020-04-18,15:19:30,52.398140,13.227625
pt00018,9,470715000857924,2019-03-23,15:51:28,52.398136,13.227754
pt00019,0,2917441271829489,2018-08-18,11:49:36,52.407871,13.231654
pt00019,1,337868221839543,2022-06-12,07:11:31,52.407857,13.231677
pt00019,2,371263204988053,2022-06-12,07:11:29,52.407771,13.231817
pt00019,3,744116792948518,2018-08-18,11:49:37,52.407808,13.231756
pt00020,0,2917441271829489,2018-08-18,11:49:36,52.407871,13.231654
pt00020,1,337868221839543,2022-06-12,07:11:31,52.407857,13.231677
pt00020,2,371263204988053,2022-06-12,07:11:29,52.407771,13.231817
pt00020,3,744116792948518,2018-08-18,11:49:37,52.407808,13.231756
pt00021,0,136010255752541,2022-06-12,07:10:47,52.405969,13.234723
pt00022,0,1028069860933423,2020-09-10,15:15:39,52.395251,13.123622
pt00022,1,1082173058976718,2020-09-10,17:15:13,52.395196,13.123496
pt00022,2,1119015695175802,2020-09-10,17:21:52,52.395214,13.123567
pt00022,3,1137425787845894,2025-02-05,08:46:24,52.395127,13.123558
pt00022,4,470404767554479,2020-09-10,17:15:14,52.395210,13.123474
pt00022,5,516047372759828,2019-06-11,13:42:12,52.395200,13.123620
pt00022,6,1466095560394914,2020-09-10,17:21:55,52.395189,13.123605
pt00022,7,152225153540249,2020-09-10,17:21:48,52.395260,13.123557
pt00023,0,1007923510390218,2023-07-12,14:36:05,52.398111,13.227669
pt00023,1,1134814780357213,2017-07-24,13:19:24,52.398138,13.227642
pt00023,2,177793167574279,2020-04-18,15:19:29,52.398073,13.227645
pt00023,3,286947139696962,2016-05-14,08:51:14,52.398069,13.227633
pt00023,4,3022328324720684,2019-06-16,20:14:06,52.398121,13.227682
pt00023,5,309389750548966,2018-03-25,15:42:14,52.398202,13.227686
pt00023,6,315763429942512,2019-06-16,20:14:07,52.398216,13.227651
pt00023,7,373268924679503,2020-04-16,11:30:03,52.398183,13.227602
pt00023,8,4188137597905696,2020-04-18,15:19:30,52.398140,13.227625
pt00024,0,1096933012497010,2025-06-25,11:19:30,52.416676,13.265511
pt00024,1,267877088349383,2016-07-03,11:31:55,52.416633,13.265600
pt00025,0,848052849257313,2017-08-14,17:55:25,52.407849,13.288216
pt00026,0,293673466358662,2023-07-12,14:36:06,52.398066,13.227688
pt00026,1,4238393729612210,2016-05-14,08:51:16,52.397983,13.227667
pt00027,0,1386088292458208,2025-08-06,08:30:31,52.435521,13.255040
pt00027,1,306492821100562,2019-07-07,14:43:00,52.435474,13.255093
pt00027,2,1230645515041832,2024-07-31,05:56:28,52.435524,13.255026
pt00027,3,1315463496432464,2025-02-05,09:36:34,52.435520,13.255157
pt00027,4,135091588607365,2018-02-18,16:08:56,52.435531,13.254950
pt00028,0,1043607234365484,2025-05-24,19:27:26,52.442559,13.297170
pt00028,1,1059114342694572,2025-04-06,11:31:38,52.442548,13.297123
pt00028,2,1135954768546716,2025-05-12,09:05:27,52.442532,13.297189
pt00028,3,1179613756560801,2025-04-06,11:31:39,52.442509,13.297166
pt00028,4,1202784631425442,2025-04-06,11:31:39,52.442471,13.297209
pt00028,5,1341112530508963,2025-05-12,09:05:26,52.442588,13.297125
pt00028,6,133718388740276,2017-02-20,10:23:28,52.442525,13.297111
pt00028,7,1380829959916807,2025-05-12,09:05:27,52.442501,13.297220
pt00029,0,1237745800234493,2023-06-12,16:35:30,52.427842,13.326752
pt00029,1,160882207015353,2023-09-19,09:57:12,52.427830,13.326711
pt00029,2,1108140117359945,2024-12-10,08:07:32,52.427836,13.326668
pt00029,3,1125710982404430,2024-12-10,08:07:32,52.427836,13.326668
pt00029,4,1192220008843757,2023-06-12,16:35:29,52.427822,13.326713
pt00029,5,1209296081326889,2026-01-19,07:31:23,52.427841,13.326649
pt00030,0,1083942680433344,2025-04-22,08:11:02,52.421935,13.312034
pt00030,10,147196551725348,2023-07-11,17:22:11,52.421915,13.312045
pt00030,1,275197350970656,2020-10-04,14:21:21,52.421908,13.312036
pt00030,2,1242928196149322,2019-08-06,17:54:58,52.421948,13.312114
pt00030,3,2056491217859811,2021-10-10,12:52:15,52.421964,13.312153
pt00030,4,409008007292169,2021-10-10,12:51:53,52.421911,13.312069
pt00030,5,118092174273454,2022-07-10,11:31:46,52.421843,13.311961
pt00030,6,1260902427664411,2021-10-10,12:51:51,52.421878,13.312031
pt00030,7,1302765128383936,2025-12-06,10:59:26,52.421890,13.312000
pt00030,8,1340048130534827,2025-04-22,08:11:03,52.421984,13.312096
pt00030,9,1361717604214801,2018-05-05,16:27:48,52.421983,13.312103
pt00031,0,2869665033333095,2024-09-11,07:46:07,52.413816,13.143796
pt00031,1,1079641260448264,2025-08-06,07:51:58,52.413800,13.143847
pt00031,2,1135362313649550,2019-09-20,09:23:05,52.413703,13.143779
pt00031,3,1148860076148175,2025-02-05,09:11:53,52.413788,13.143850
pt00031,4,1152023312910080,2025-03-26,08:37:50,52.413824,13.143807
pt00031,5,1169110000868467,2024-09-11,07:46:04,52.413733,13.143790
pt00031,6,1170607844499199,2025-02-05,09:11:54,52.413788,13.143850
pt00031,7,3500440786755985,2025-03-26,08:37:48,52.413733,13.143780
pt00034,0,1344327563327779,2025-06-25,13:18:42,52.448595,13.251929
pt00034,10,814664362496028,2016-09-15,17:08:27,52.448503,13.251919
pt00034,11,836796683589260,2019-07-20,14:03:45,52.448571,13.251910
pt00034,1,1387717609109456,2025-06-25,13:18:38,52.448560,13.251951
pt00034,2,1596658527192334,2018-04-22,12:40:26,52.448554,13.251934
pt00034,3,208765857550449,2019-07-20,14:03:42,52.448501,13.251955
pt00034,4,2416230255443350,2025-06-25,13:35:44,52.448457,13.251879
pt00034,5,24455466714060356,2025-06-25,13:18:40,52.448589,13.251933
pt00034,6,2993188217571234,2019-07-20,14:03:44,52.448555,13.251920
pt00034,7,327092998824143,2019-07-20,14:03:43,52.448530,13.251936
pt00034,8,672006849173368,2025-06-25,13:35:42,52.448570,13.251823
pt00034,9,685335981164186,2025-06-25,13:18:44,52.448599,13.251930
pt00035,0,239889757927129,2017-08-17,15:18:07,52.438014,13.256737
pt00035,1,1234851198367126,2025-06-25,13:14:52,52.437946,13.256921
pt00035,2,1374738694115359,2025-06-25,13:14:54,52.438039,13.256860
pt00036,0,1690886471344624,2023-06-12,16:26:15,52.432326,13.303367
pt00036,1,1222816074831314,2014-07-16,11:49:11,52.432256,13.303316
pt00036,2,318390373134410,2015-08-02,11:20:34,52.432271,13.303395
pt00036,3,1433126067505431,2023-06-12,16:26:14,52.432333,13.303233
pt00036,4,155823469881681,2014-07-16,11:49:09,52.432257,13.303125
pt00036,5,168017728577666,2019-06-07,18:19:59,52.432296,13.303182
pt00036,6,191302302707722,2017-08-03,16:12:49,52.432332,13.303298
pt00036,7,2373547382788581,2019-06-07,18:20:00,52.432294,13.303285
pt00037,0,1000944373778707,2021-07-18,09:18:21,52.445577,13.293661
pt00037,1,1005553199976780,2015-12-27,15:13:37,52.445647,13.293593
pt00037,2,1212976183576797,2025-04-06,11:30:46,52.445601,13.293719
pt00037,3,1123105179852447,2025-05-12,09:03:58,52.445549,13.293688
pt00037,4,178015014175609,2014-07-08,10:48:53,52.445600,13.293702
pt00037,5,215183463454111,2017-07-05,16:56:11,52.445526,13.293696
pt00037,6,1318364116966431,2025-08-06,08:41:26,52.445523,13.293620
pt00037,7,118224103856060,2021-07-18,09:18:03,52.445652,13.293596
pt00037,8,1889670981851046,2025-05-12,09:03:57,52.445546,13.293682
pt00038,0,1107153628033318,2025-08-06,08:30:44,52.435677,13.256334
pt00038,1,1108970589674789,2022-03-26,13:20:48,52.435614,13.256136
pt00038,2,1299696148441800,2025-08-06,08:30:43,52.435676,13.256263
pt00038,3,1306031507265113,2025-02-05,09:36:43,52.435676,13.256340
pt00038,4,134791555330800,2015-12-27,14:29:21,52.435690,13.256218
pt00038,5,1382380782161019,2019-06-07,18:09:04,52.435618,13.256340
pt00039,0,1238191930212696,2023-07-01,12:42:14,52.430969,13.274304
pt00039,1,1667662737054446,2023-07-01,12:42:12,52.430924,13.274136
pt00039,2,179669094947158,2023-04-10,14:20:01,52.430840,13.274149
pt00039,3,2888206591493900,2019-06-07,18:14:01,52.430949,13.274129
pt00039,4,299294054906092,2015-08-30,10:24:27,52.430903,13.274103
pt00039,5,3940562649362188,2014-07-16,11:45:18,52.430967,13.274278
pt00039,6,4125636214196482,2019-06-07,18:14:02,52.430978,13.274234
pt00040,0,1067720613718684,2019-07-27,13:46:36,52.433233,13.264715
pt00040,1,3808394349426154,2025-02-05,09:44:53,52.433313,13.264763
pt00040,2,150362443770633,2019-07-27,13:46:40,52.433277,13.264857
pt00040,3,159240336140014,2019-06-07,18:11:32,52.433311,13.264645
pt00040,4,1794029170779272,2019-07-27,13:46:38,52.433251,13.264778
pt00040,5,789404416700055,2024-07-31,06:02:51,52.433306,13.264734
pt00040,6,190936092867750,2017-06-29,07:18:04,52.433310,13.264726
pt00040,7,201113844998970,2017-06-29,07:18:03,52.433210,13.264797
pt00040,8,392367678450460,2015-12-27,14:43:47,52.433320,13.264657
pt00041,0,1015172722725394,2022-04-13,14:47:13,52.435140,13.259157
pt00041,1,1134601227301425,2022-03-26,13:21:28,52.435168,13.259270
pt00041,2,1159353468694066,2024-07-31,05:19:24,52.435167,13.259289
pt00041,3,1199338067731384,2024-07-31,05:58:00,52.435170,13.259308
pt00042,0,239889757927129,2017-08-17,15:18:07,52.438014,13.256737
pt00042,1,519992872351616,2017-08-17,15:18:05,52.437959,13.256818
pt00042,2,704396782487355,2025-06-25,13:11:28,52.438009,13.256699
pt00042,3,714507338033957,2025-06-25,13:11:30,52.437902,13.256781
pt00043,0,419066556925318,2022-07-10,11:21:38,52.433473,13.307065
pt00043,1,1045500520845506,2025-05-12,09:07:20,52.433494,13.307177
pt00043,2,1056883156345097,2025-05-12,09:07:21,52.433443,13.307235
